Rk,Gcar,Gtm,Date,Team,Location,Opp,Result,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,372,1,2014-10-28,HOU,Away,LAL,Win,108-90,*,30:46,7,17,.412,3,6,.500,4,11,.364,.500,15,16,.938,0,1,1,6,1,0,0,1,32,27.6,12
2,373,2,2014-10-29,HOU,Away,UTA,Win,104-93,*,38:11,6,18,.333,1,5,.200,5,13,.385,.361,5,6,.833,1,6,7,10,0,1,6,5,18,9.6,21
3,374,3,2014-11-01,HOU,Home,BOS,Win,104-90,*,31:06,5,14,.357,2,6,.333,3,8,.375,.429,14,14,1.000,0,8,8,6,4,1,3,1,26,26.1,18
4,375,4,2014-11-03,HOU,Away,PHI,Win,104-93,*,38:12,7,18,.389,4,8,.500,3,10,.300,.500,17,18,.944,1,8,9,5,1,1,4,2,35,28.3,18
5,376,5,2014-11-04,HOU,Away,MIA,Win,108-91,*,40:23,6,13,.462,3,7,.429,3,6,.500,.577,10,10,1.000,2,7,9,10,1,2,5,2,25,25.4,15
6,377,6,2014-11-06,HOU,Home,SAS,Win,98-81,*,32:52,8,15,.533,1,4,.250,7,11,.636,.567,3,6,.500,2,4,6,6,1,3,8,1,20,13.0,25
7,378,7,2014-11-08,HOU,Home,GSW,Loss,87-98,*,43:26,8,24,.333,1,11,.091,7,13,.538,.354,5,6,.833,0,7,7,7,2,0,5,0,22,12.0,-11
8,379,8,2014-11-12,HOU,Away,MIN,Win,113-101,*,39:45,8,23,.348,2,8,.250,6,15,.400,.391,5,5,1.000,1,3,4,10,3,0,1,3,23,19.5,13
9,380,9,2014-11-14,HOU,Home,PHI,Win,88-87,*,40:44,10,24,.417,1,5,.200,9,19,.474,.438,14,16,.875,0,6,6,7,3,1,5,5,35,24.8,4
10,381,10,2014-11-16,HOU,Away,OKC,Win,69-65,*,37:13,5,17,.294,2,9,.222,3,8,.375,.353,7,8,.875,1,8,9,5,1,1,4,3,19,11.8,-2
11,382,11,2014-11-17,HOU,Away,MEM,Loss,93-119,*,33:32,1,8,.125,0,4,.000,1,4,.250,.125,4,5,.800,1,4,5,4,2,1,3,4,6,3.2,-29
12,383,12,2014-11-19,HOU,Home,LAL,Loss,92-98,*,37:42,7,11,.636,2,3,.667,5,8,.625,.727,8,10,.800,0,4,4,7,1,1,6,4,24,18.5,-7
13,384,13,2014-11-22,HOU,Home,DAL,Win,95-92,*,37:06,8,18,.444,4,9,.444,4,9,.444,.556,12,13,.923,3,5,8,4,2,0,4,3,32,25.4,-3
14,385,14,2014-11-24,HOU,Home,NYK,Win,91-86,*,39:31,11,22,.500,7,12,.583,4,10,.400,.659,7,7,1.000,1,5,6,6,3,1,5,2,36,29.3,7
15,386,15,2014-11-26,HOU,Home,SAC,Win,102-89,*,37:27,10,31,.323,2,9,.222,8,22,.364,.355,4,6,.667,3,4,7,8,2,3,1,3,26,18.3,5
16,387,16,2014-11-28,HOU,Home,LAC,Loss,85-102,*,37:51,5,12,.417,0,4,.000,5,8,.625,.417,6,6,1.000,0,4,4,6,2,2,5,3,16,12.2,-5
17,388,17,2014-11-29,HOU,Away,MIL,Win,117-103,*,38:16,9,14,.643,4,5,.800,5,9,.556,.786,12,13,.923,2,4,6,7,4,1,5,4,34,33.0,14
18,389,18,2014-12-03,HOU,Home,MEM,Win,105-96,*,28:02,6,11,.545,2,5,.400,4,6,.667,.636,7,8,.875,1,3,4,4,3,1,3,3,21,19.2,21
19,390,19,2014-12-05,HOU,Away,MIN,Win,114-112 (OT),*,36:35,11,17,.647,3,5,.600,8,12,.667,.735,13,14,.929,0,4,4,6,0,0,8,6,38,25.1,7
20,391,20,2014-12-06,HOU,Home,PHO,Win,100-95,*,39:11,5,21,.238,1,9,.111,4,12,.333,.262,4,5,.800,1,11,12,7,2,3,6,1,15,8.5,3
21,392,21,2014-12-10,HOU,Away,GSW,Loss,93-105,*,39:35,14,27,.519,3,8,.375,11,19,.579,.574,3,4,.750,1,6,7,4,4,0,5,3,34,23.4,-5
22,393,22,2014-12-11,HOU,Away,SAC,Win,113-109 (OT),*,47:56,14,32,.438,3,10,.300,11,22,.500,.484,13,15,.867,0,4,4,8,3,1,2,2,44,34.1,10
23,394,23,2014-12-13,HOU,Home,DEN,Win,108-96,*,37:59,7,20,.350,2,5,.400,5,15,.333,.400,8,9,.889,0,10,10,10,1,2,3,3,24,20.6,8
24,395,24,2014-12-17,HOU,Away,DEN,Win,115-111 (OT),*,44:55,11,21,.524,1,7,.143,10,14,.714,.548,18,21,.857,1,3,4,10,2,0,4,2,41,35.3,12
25,396,25,2014-12-18,HOU,Home,NOP,Loss,90-99,*,34:04,8,23,.348,2,7,.286,6,16,.375,.391,3,5,.600,2,5,7,5,0,0,4,4,21,8.1,-10
26,397,26,2014-12-20,HOU,Home,ATL,Loss,97-104,*,39:11,5,16,.313,2,7,.286,3,9,.333,.375,6,6,1.000,1,5,6,14,1,1,3,5,18,17.5,2
27,398,27,2014-12-22,HOU,Home,POR,Win,110-95,*,31:50,14,26,.538,4,9,.444,10,17,.588,.615,12,13,.923,0,3,3,7,5,0,1,2,44,40.0,19
28,399,28,2014-12-26,HOU,Away,MEM,Win,117-111 (OT),*,41:23,10,17,.588,2,4,.500,8,13,.615,.647,10,11,.909,1,7,8,10,0,3,2,1,32,33.2,9
29,400,29,2014-12-28,HOU,Away,SAS,Loss,106-110,*,35:56,10,18,.556,3,6,.500,7,12,.583,.639,5,6,.833,1,1,2,5,2,0,9,5,28,14.5,-14
30,401,30,2014-12-29,HOU,Home,WAS,Loss,103-104,*,35:38,12,23,.522,3,8,.375,9,15,.600,.587,6,7,.857,1,5,6,4,1,0,2,3,33,24.1,-13
31,402,31,2014-12-31,HOU,Home,CHO,Win,102-83,*,33:11,12,19,.632,8,11,.727,4,8,.500,.842,4,4,1.000,0,7,7,6,2,1,1,1,36,35.1,16
32,403,32,2015-01-02,HOU,Away,NOP,Loss,83-111,*,25:08,5,13,.385,1,6,.167,4,7,.571,.423,0,0,Home,1,1,2,3,2,0,5,3,11,2.8,-20
33,404,33,2015-01-03,HOU,Home,MIA,Win,115-79,*,28:12,9,17,.529,3,6,.500,6,11,.545,.618,7,7,1.000,1,4,5,2,1,0,3,1,28,20.6,15
34,405,34,2015-01-05,HOU,Away,CHI,Loss,105-114,*,38:19,7,22,.318,3,8,.375,4,14,.286,.386,3,3,1.000,0,2,2,4,1,2,2,4,20,9.6,-10
35,406,35,2015-01-07,HOU,Away,CLE,Win,105-93,*,33:01,6,18,.333,2,7,.286,4,11,.364,.389,7,7,1.000,2,5,7,9,1,0,7,0,21,14.0,7
36,407,36,2015-01-08,HOU,Away,NYK,Win,120-96,*,30:40,8,17,.471,3,7,.429,5,10,.500,.559,6,6,1.000,0,4,4,9,3,0,3,2,25,23.0,32
37,408,37,2015-01-10,HOU,Home,UTA,Win,97-82,*,34:17,8,14,.571,4,8,.500,4,6,.667,.714,10,11,.909,1,2,3,5,1,1,6,3,30,22.3,25
38,409,38,2015-01-12,HOU,Away,BRK,Win,113-99,*,29:47,9,13,.692,4,7,.571,5,6,.833,.846,8,8,1.000,0,3,3,6,2,0,2,1,30,29.2,19
39,410,39,2015-01-14,HOU,Away,ORL,Loss,113-120,*,37:58,10,16,.625,1,5,.200,9,11,.818,.656,5,6,.833,2,2,4,10,5,1,7,4,26,24.5,-11
40,411,40,2015-01-15,HOU,Home,OKC,Win,112-101,*,37:22,9,15,.600,6,8,.750,3,7,.429,.800,7,9,.778,1,8,9,10,1,0,2,3,31,31.2,23
41,412,41,2015-01-17,HOU,Home,GSW,Loss,106-131,*,30:04,4,15,.267,0,4,.000,4,11,.364,.267,4,7,.571,1,3,4,4,1,0,3,5,12,2.3,-16
42,413,42,2015-01-19,HOU,Home,IND,Win,110-98,*,39:56,12,18,.667,7,12,.583,5,6,.833,.861,14,15,.933,1,0,1,7,4,1,5,0,45,42.1,17
43,414,43,2015-01-21,HOU,Away,GSW,Loss,113-126,*,31:57,8,18,.444,3,6,.500,5,12,.417,.528,14,16,.875,2,2,4,6,2,1,2,2,33,28.9,-22
44,415,44,2015-01-23,HOU,Away,PHO,Win,113-111,*,39:48,8,18,.444,3,6,.500,5,12,.417,.528,14,17,.824,0,6,6,10,3,1,3,4,33,30.3,1
45,416,45,2015-01-25,HOU,Away,LAL,Win,99-87,*,35:11,12,20,.600,4,11,.364,8,9,.889,.700,9,10,.900,1,7,8,5,2,0,6,0,37,29.7,16
46,417,46,2015-01-28,HOU,Home,DAL,Win,99-94,*,37:38,7,14,.500,1,3,.333,6,11,.545,.536,2,3,.667,1,4,5,8,4,0,4,5,17,15.1,-2
47,418,47,2015-01-30,HOU,Away,BOS,Win,93-87,*,39:25,4,21,.190,2,7,.286,2,14,.143,.238,4,5,.800,0,6,6,7,2,0,5,2,14,3.4,3
48,419,48,2015-01-31,HOU,Away,DET,Loss,101-114,*,36:28,10,17,.588,2,4,.500,8,13,.615,.647,4,5,.800,0,7,7,9,2,1,4,1,26,24.4,-2
49,420,49,2015-02-04,HOU,Home,CHI,Win,101-90,*,36:18,9,20,.450,3,5,.600,6,15,.400,.525,6,6,1.000,1,2,3,4,1,2,2,2,27,20.3,1
50,421,50,2015-02-06,HOU,Home,MIL,Win,117-111,*,40:14,9,14,.643,3,6,.500,6,8,.750,.750,12,17,.706,0,3,3,5,1,0,3,1,33,26.8,9
51,422,51,2015-02-08,HOU,Home,POR,Loss,98-109,*,39:50,11,25,.440,4,10,.400,7,15,.467,.520,19,23,.826,4,5,9,8,2,0,4,2,45,37.4,-5
52,423,52,2015-02-10,HOU,Away,PHO,Win,127-118,*,42:39,13,23,.565,3,7,.429,10,16,.625,.630,11,14,.786,3,9,12,9,3,1,5,1,40,37.3,16
53,424,53,2015-02-11,HOU,Away,LAC,Loss,95-110,*,35:58,3,12,.250,0,7,.000,3,5,.600,.250,3,5,.600,0,5,5,6,3,0,5,4,9,3.1,-8
54,425,54,2015-02-20,HOU,Away,DAL,Loss,100-111,*,37:20,6,14,.429,3,5,.600,3,9,.333,.536,11,13,.846,1,6,7,5,2,0,6,5,26,17.8,-12
55,426,55,2015-02-21,HOU,Home,TOR,Win,98-76,*,29:18,5,12,.417,2,6,.333,3,6,.500,.500,8,10,.800,0,5,5,7,2,0,5,2,20,15.4,9
56,427,56,2015-02-23,HOU,Home,MIN,Win,113-102,*,38:39,7,20,.350,5,11,.455,2,9,.222,.475,12,15,.800,1,10,11,10,1,4,3,3,31,28.9,13
57,428,57,2015-02-25,HOU,Home,LAC,Win,110-105,*,36:29,4,13,.308,3,9,.333,1,4,.250,.423,10,12,.833,0,4,4,10,0,0,3,1,21,17.5,-6
58,429,58,2015-02-27,HOU,Home,BRK,Win,102-98,*,38:20,4,15,.267,0,4,.000,4,11,.364,.267,7,7,1.000,0,5,5,12,1,0,4,3,15,11.8,3
59,430,59,2015-03-01,HOU,Home,CLE,Win,105-103 (OT),*,42:21,8,18,.444,2,6,.333,6,12,.500,.500,15,18,.833,2,6,8,5,3,2,5,3,33,27.3,14
59,Home,60,2015-03-03,HOU,Away,ATL,Loss,96-104,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
60,431,61,2015-03-04,HOU,Home,MEM,Loss,100-102,*,41:24,7,16,.438,2,7,.286,5,9,.556,.500,2,2,1.000,1,3,4,13,1,2,3,1,18,19.3,10
61,432,62,2015-03-06,HOU,Home,DET,Win,103-93,*,37:46,10,21,.476,2,6,.333,8,15,.533,.524,16,18,.889,1,11,12,12,1,0,7,1,38,32.5,28
62,433,63,2015-03-07,HOU,Away,DEN,Win,114-100,*,36:29,8,19,.421,2,4,.500,6,15,.400,.474,10,11,.909,1,3,4,7,2,0,4,5,28,20.0,5
63,434,64,2015-03-11,HOU,Away,POR,Loss,100-105,*,38:08,7,19,.368,0,3,.000,7,16,.438,.368,4,5,.800,1,1,2,6,3,0,4,3,18,10.1,2
64,435,65,2015-03-12,HOU,Away,UTA,Loss,91-109,*,34:00,3,13,.231,0,5,.000,3,8,.375,.231,9,13,.692,2,2,4,7,3,0,3,1,15,12.0,-16
65,436,66,2015-03-15,HOU,Away,LAC,Win,100-98,*,40:38,7,16,.438,3,5,.600,4,11,.364,.531,17,18,.944,0,7,7,7,0,0,3,3,34,28.0,5
66,437,67,2015-03-17,HOU,Home,ORL,Win,107-94,*,34:40,4,14,.286,1,4,.250,3,10,.300,.321,8,11,.727,1,7,8,4,3,0,4,1,17,11.8,14
67,438,68,2015-03-19,HOU,Home,DEN,Win,118-108,*,40:09,12,27,.444,4,12,.333,8,15,.533,.519,22,25,.880,1,9,10,4,1,0,4,2,50,37.1,22
68,439,69,2015-03-21,HOU,Home,PHO,Loss,102-117,*,32:33,5,19,.263,1,8,.125,4,11,.364,.289,5,5,1.000,1,1,2,5,0,2,5,3,16,4.4,-27
69,440,70,2015-03-23,HOU,Away,IND,Win,110-100,*,43:05,10,21,.476,3,8,.375,7,13,.538,.548,21,22,.955,1,3,4,7,2,2,4,4,44,37.2,5
70,441,71,2015-03-25,HOU,Away,NOP,Win,95-93,*,37:25,9,20,.450,1,4,.250,8,16,.500,.475,6,9,.667,0,6,6,10,1,1,2,3,25,20.7,-2
71,442,72,2015-03-27,HOU,Home,MIN,Win,120-110,*,36:56,9,19,.474,6,12,.500,3,7,.429,.632,9,10,.900,1,3,4,8,5,0,3,4,33,30.5,10
72,443,73,2015-03-29,HOU,Away,WAS,Win,99-91,*,37:50,7,20,.350,1,6,.167,6,14,.429,.375,9,10,.900,0,3,3,6,2,1,3,3,24,16.0,1
73,444,74,2015-03-30,HOU,Away,TOR,Loss,96-99,*,37:57,9,22,.409,3,8,.375,6,14,.429,.477,10,12,.833,2,3,5,5,1,0,3,3,31,21.0,-13
74,445,75,2015-04-01,HOU,Home,SAC,Win,115-111,*,37:33,16,25,.640,8,9,.889,8,16,.500,.800,11,13,.846,2,6,8,6,3,0,7,1,51,42.1,10
75,446,76,2015-04-02,HOU,Away,DAL,Win,108-101,*,38:57,6,15,.400,2,8,.250,4,7,.571,.467,10,12,.833,0,4,4,6,1,0,5,2,24,15.7,12
76,447,77,2015-04-05,HOU,Away,OKC,Win,115-112,*,38:04,12,22,.545,6,9,.667,6,13,.462,.682,11,13,.846,2,4,6,6,3,0,3,6,41,34.0,-3
77,448,78,2015-04-08,HOU,Away,SAS,Loss,98-110,*,35:22,6,15,.400,2,6,.333,4,9,.444,.467,8,8,1.000,2,2,4,4,1,0,1,1,22,18.3,-26
78,449,79,2015-04-10,HOU,Home,SAS,Loss,103-104,*,37:41,5,19,.263,2,5,.400,3,14,.214,.316,4,6,.667,0,2,2,10,3,0,4,2,16,9.7,-2
79,450,80,2015-04-12,HOU,Home,NOP,Win,121-114,*,37:47,10,18,.556,1,6,.167,9,12,.750,.583,9,9,1.000,0,1,1,7,1,1,4,2,30,23.5,1
80,451,81,2015-04-13,HOU,Away,CHO,Win,100-90,*,36:53,7,20,.350,1,8,.125,6,12,.500,.375,14,16,.875,2,4,6,6,1,2,2,1,29,23.8,0
81,452,82,2015-04-15,HOU,Home,UTA,Win,117-91,*,27:27,3,8,.375,2,5,.400,1,3,.333,.500,8,8,1.000,0,11,11,10,1,1,6,2,16,16.8,28
,,,,,,,56-25,81,2979,647,1470,.440,208,555,.375,439,915,.480,.511,715,824,.868,75,384,459,565,154,60,321,208,2217,21.7,333